Epoch,Train Dice Score,Val Dice Score
0,0.65357748275766,0.7923913449048996
1,0.7364596483799127,0.8142970850070318
2,0.7708855397426165,0.8297059386968613
3,0.7931589862475028,0.8458874126275381
4,0.8088537729703463,0.8252576440572739
5,0.8154110845464927,0.86925341685613
6,0.8256806794267434,0.8730700264374415
7,0.8335435356085117,0.8725432952245077
8,0.8350906836298796,0.8857541133960088
9,0.8435590788722038,0.8889990150928497
10,0.8498055293009832,0.8961539467175802
11,0.8544974264044028,0.8976256946722666
12,0.8566882002812165,0.8701463143030802
13,0.859151113491792,0.8999059249957403
14,0.8614519828787217,0.893213634689649
15,0.8623049024205941,0.8864798694849014
16,0.8661287214893562,0.9017149160305659
17,0.874133322101373,0.89592973391215
18,0.8711472881528047,0.8919003854195277
19,0.8718491374300077,0.903000091512998
20,0.8761287343043548,0.9063532004753748
21,0.881094027024049,0.9020071178674698
22,0.875512570142746,0.9099318583806356
23,0.8833077206061437,0.9053186774253845
24,0.8871102917652863,0.9064270158608755
25,0.8834912994733224,0.9009274244308472
26,0.8871459857775614,0.9099692751963934
27,0.8887250136870605,0.9053511073191961
28,0.8912776869076949,0.9191572964191437
29,0.8921636285690161,0.9172452638546625
30,0.8920511626280271,0.912469411889712
31,0.8930816008494451,0.9196662108103434
32,0.8961942482453126,0.9128631949424744
33,0.8998426262002724,0.9188432991504669
34,0.8993672613914196,0.9162584195534388
35,0.8976256337303382,0.9040848165750504
36,0.9006663979246066,0.9215248872836431
37,0.9025735345024329,0.9188562681277593
38,0.8997219170515354,0.9219301442305247
39,0.9019182633895141,0.9257804503043493
40,0.9035531769578273,0.9205060501893362
41,0.9057573464054328,0.9210392534732819
42,0.9061734762329322,0.9267362604538599
43,0.9043933141690034,0.9225933849811554
44,0.9034226777461859,0.9229303002357483
45,0.9109597893861624,0.9134308596452078
46,0.9053390604945329,0.9135034680366516
47,0.9104022635863378,0.9268733859062195
48,0.9085771000156035,0.9279176990191141
49,0.9144991372640316,0.9279656708240509
50,0.908942423760891,0.925434817870458
51,0.9141603668148701,0.9223209818204244
52,0.9137488976120949,0.930133044719696
53,0.9139564914199022,0.9270161936680476
54,0.9172005808124175,0.924494594335556
55,0.9126607105135918,0.9245994687080383
56,0.9161886045565972,0.9242493261893591
57,0.9155764167125409,0.9314088126023611
58,0.9188831299543381,0.9294925034046173
59,0.9130469732559644,0.9260454575220743
60,0.9193290919065475,0.9275904645522436
61,0.9188710009822478,0.9283170203367869
62,0.9197297440125392,0.9303190261125565
63,0.9194063406724197,0.9273223827282587
64,0.9232226999906393,0.9304156104723612
65,0.9212262286589696,0.9297422468662262
66,0.9231178749066132,0.9271872291962305
67,0.9186424303513306,0.9263370086749395
68,0.9245490317161267,0.9290362745523453
69,0.9226457831951288,0.9314308116833369
70,0.9214547861080903,0.9261627495288849
71,0.9252340805072051,0.9318273961544037
72,0.9256657717319635,0.9271542032559713
73,0.9267551795794413,0.9284523824850718
74,0.92525181804712,0.9292183021704356
75,0.926549626657596,0.9288169592618942
76,0.9262664633301588,0.9330741912126541
77,0.9291075949485486,0.9292445828517278
78,0.9286258621857717,0.9299211402734121
79,0.9298099749363385,0.9278407643238703
80,0.9287465661764145,0.9356406480073929
81,0.9338153721048281,0.9322812259197235
82,0.9279880603918662,0.9306473036607107
83,0.9316585138440132,0.9259956578413645
84,0.9295468399157891,0.9348897884289423
85,0.929030081973626,0.9341845363378525
86,0.9323126261050885,0.9290259579817454
87,0.9275195667376885,0.9332771698633829
88,0.930698903134236,0.9301669895648956
89,0.9325442812763728,0.9295011609792709
90,0.9330104606655928,0.9331767906745275
91,0.9293127346497315,0.9336949388186137
92,0.9335234388709068,0.934815987944603
93,0.9358759528169265,0.9313942392667135
94,0.9333573975242101,0.92800406118234
95,0.9355461717798159,0.9338797231515249
96,0.9359082132577896,0.9356259306271871
97,0.9330130345546283,0.9352927356958389
98,0.9351681035298568,0.9319979399442673
99,0.9352464297643075,0.9338998049497604
