Epoch,Training loss,Validation loss
0,42.082615907138134,0.24291247129440308
1,0.05139564847484333,0.11672994494438171
2,0.010181032913762515,0.07395333051681519
3,0.008147540438460978,0.047310564666986465
4,0.007645819108129466,0.04305269941687584
5,0.0070323710974101745,0.0408455915749073
6,0.006943964080451286,0.03893466293811798
7,0.006968796959022002,0.0471511110663414
8,0.0067875741340128245,0.03702746704220772
9,0.0065998405596514,0.0460074283182621
10,0.006470915458194412,0.04880257695913315
11,0.006369199125394327,0.06292060762643814
12,0.006385358295718109,0.05294124782085419
13,0.008613170350732335,0.00508697098121047
14,0.008040782426663569,0.004573709797114134
15,0.006335619112117427,0.02440492808818817
16,0.007716159965644212,0.0038220123387873173
17,0.007540545329482138,0.004082816652953625
18,0.007389467200022267,0.0034276992082595825
19,0.007278440897919941,0.0016257971292361617
20,0.007186074822086194,0.0017682616598904133
21,0.007127445913525107,0.003884155536070466
22,0.00711702858543765,0.0020892189349979162
23,0.007012928954214775,0.0016822533216327429
24,0.006976749192510519,0.0021525006741285324
25,0.0069431855595541965,0.0016312476946040988
26,0.006937017136224114,0.0013552100863307714
27,0.006854956690604237,0.0015045007457956672
28,0.006808446420843314,0.0014325854135677218
29,0.0067857636107582844,0.0015748192090541124
30,0.006756853820277039,0.0035018061753362417
31,0.006733773267291558,0.0016880936454981565
32,0.0067279420744643,0.0017893066396936774
33,0.006692100125817243,0.0030861974228173494
34,0.006660266326123749,0.0011796285398304462
35,0.006631380332144622,0.001904945936985314
36,0.006667865590586056,0.0016066661337390542
37,0.0066021214788410144,0.0015895614633336663
38,0.006562984106099047,0.002096789190545678
39,0.006558972558327702,0.0011270387331023812
40,0.00657571514650527,0.0009765942813828588
41,0.006531043642897429,0.0010228322353214025
42,0.006513347088967013,0.0013256702804937959
43,0.006518140917442607,0.001707614865154028
44,0.006538724715957767,0.0010269328486174345
45,0.006450191943456512,0.001802356680855155
46,0.0064355374005573476,0.001188573893159628
47,0.006484964600332316,0.0017006687121465802
48,0.00644503584960998,0.0019407811341807246
49,0.0064025074864639585,0.0010783403413370252
50,0.006424188694156064,0.0009758765809237957
51,0.006391019176592396,0.0015638560289517045
52,0.006376495846660576,0.003989222459495068
53,0.0063699163415592815,0.0009221732616424561
54,0.006372769827611755,0.0009691748418845236
55,0.006395012883994367,0.0015800097025930882
56,0.0063728042241191,0.0013357329880818725
57,0.006344454266161501,0.0009708085563033819
58,0.006316151142199352,0.00089353381190449
59,0.006373658004534086,0.001530796173028648
60,0.006388473082728756,0.001209606183692813
61,0.006350762111092784,0.001585294958204031
62,0.006270022070348752,0.001251288689672947
63,0.0062615420976997686,0.0022235680371522903
64,0.0062787409253270655,0.0013166835997253656
65,0.0063052267780866365,0.0016880373004823923
66,0.006215522261005196,0.001507066423073411
67,0.0062292939460952285,0.0010554288746789098
68,0.006302640211823232,0.0008052399498410523
69,0.006282083956759153,0.0007739642169326544
